Season,Super Bowl,Winning QB,Winning Team,Win vs Loss
1966 AFL/NFL,I,Bart Starr*MVP,Green Bay Packersn,Win
1967 AFL/NFL,II,Bart Starr*MVP,Green Bay Packersn,Win
1968 AFL/NFL,III,Joe Namath*MVP,New York Jetsa,Win
1969 AFL/NFL,IV,Len Dawson*MVP,Kansas City Chiefsa,Win
1970,V,Johnny Unitas*,Baltimore ColtsA,Win
1971,VI,Roger Staubach*MVP,Dallas CowboysN,Win
1972,VII,Bob Griese*,Miami DolphinsA,Win
1973,VIII,Bob Griese*,Miami DolphinsA,Win
1974,IX,Terry Bradshaw*,Pittsburgh SteelersA,Win
1975,X,Terry Bradshaw*,Pittsburgh SteelersA,Win
1976,XI,Ken Stabler*,Oakland RaidersA,Win
1977,XII,Roger Staubach*,Dallas CowboysN,Win
1978,XIII,Terry Bradshaw*MVP,Pittsburgh SteelersA,Win
1979,XIV,Terry Bradshaw*MVP,Pittsburgh SteelersA,Win
1980,XV,Jim PlunkettMVP,Oakland RaidersA,Win
1981,XVI,Joe Montana*MVP,San Francisco 49ersN,Win
1982,XVII,Joe Theismann,Washington RedskinsN,Win
1983,XVIII,Jim Plunkett,Los Angeles RaidersA,Win
1984,XIX,Joe Montana*MVP,San Francisco 49ersN,Win
1985,XX,Jim McMahon,Chicago BearsN,Win
1986,XXI,Phil SimmsMVP,New York GiantsN,Win
1987,XXII,Doug WilliamsMVP,Washington RedskinsN,Win
1988,XXIII,Joe Montana*,San Francisco 49ersN,Win
1989,XXIV,Joe Montana*MVP,San Francisco 49ersN,Win
1990,XXV,Jeff Hostetler,New York GiantsN,Win
1991,XXVI,Mark RypienMVP,Washington RedskinsN,Win
1992,XXVII,Troy Aikman*MVP,Dallas CowboysN,Win
1993,XXVIII,Troy Aikman*,Dallas CowboysN,Win
1994,XXIX,Steve Young*MVP,San Francisco 49ersN,Win
1995,XXX,Troy Aikman*,Dallas CowboysN,Win
1996,XXXI,Brett Favre*,Green Bay PackersN,Win
1997,XXXII,John Elway*,Denver BroncosA,Win
1998,XXXIII,John Elway*MVP,Denver BroncosA,Win
1999,XXXIV,Kurt Warner*MVP,St. Louis RamsN,Win
2000,XXXV,Trent Dilfer,Baltimore RavensA,Win
2001,XXXVI,Tom BradyMVP,New England PatriotsA,Win
2002,XXXVII,Brad Johnson,Tampa Bay BuccaneersN,Win
2003,XXXVIII,Tom BradyMVP,New England PatriotsA,Win
2004,XXXIX,Tom Brady,New England PatriotsA,Win
2005,XL,Ben Roethlisberger,Pittsburgh SteelersA,Win
2006,XLI,Peyton Manning‡MVP,Indianapolis ColtsA,Win
2007,XLII,Eli Manning‡MVP,New York GiantsN,Win
2008,XLIII,Ben Roethlisberger,Pittsburgh SteelersA,Win
2009,XLIV,Drew BreesMVP,New Orleans SaintsN,Win
2010,XLV,Aaron RodgersMVP,Green Bay PackersN,Win
2011,XLVI,Eli Manning‡MVP,New York GiantsN,Win
2012,XLVII,Joe FlaccoMVP,Baltimore RavensA,Win
2013,XLVIII,Russell Wilson,Seattle SeahawksN,Win
2014,XLIX,Tom BradyMVP,New England PatriotsA,Win
2015,50,Peyton Manning‡,Denver BroncosA,Win
2016,LI,Tom BradyMVP,New England PatriotsA,Win
2017,LII,Nick FolesMVP,Philadelphia EaglesN,Win
2018,LIII,Tom Brady,New England PatriotsA,Win
2019,LIV,Patrick MahomesMVP,Kansas City ChiefsA,Win
1966 AFL/NFL,I,Len Dawson*,Kansas City Chiefsa,Loss
1967 AFL/NFL,II,Daryle Lamonica,Oakland Raidersa,Loss
1968 AFL/NFL,III,Earl Morrall,Baltimore Coltsn,Loss
1969 AFL/NFL,IV,Joe Kapp,Minnesota Vikingsn,Loss
1970,V,Craig Morton,Dallas CowboysN,Loss
1971,VI,Bob Griese*,Miami DolphinsA,Loss
1972,VII,Billy Kilmer,Washington RedskinsN,Loss
1973,VIII,Fran Tarkenton*,Minnesota VikingsN,Loss
1974,IX,Fran Tarkenton*,Minnesota VikingsN,Loss
1975,X,Roger Staubach*,Dallas CowboysN,Loss
1976,XI,Fran Tarkenton*,Minnesota VikingsN,Loss
1977,XII,Craig Morton,Denver BroncosA,Loss
1978,XIII,Roger Staubach*,Dallas CowboysN,Loss
1979,XIV,Vince Ferragamo,Los Angeles RamsN,Loss
1980,XV,Ron Jaworski,Philadelphia EaglesN,Loss
1981,XVI,Ken Anderson,Cincinnati BengalsA,Loss
1982,XVII,David Woodley,Miami DolphinsA,Loss
1983,XVIII,Joe Theismann,Washington RedskinsN,Loss
1984,XIX,Dan Marino*,Miami DolphinsA,Loss
1985,XX,Tony Eason,New England PatriotsA,Loss
1986,XXI,John Elway*,Denver BroncosA,Loss
1987,XXII,John Elway*,Denver BroncosA,Loss
1988,XXIII,Boomer Esiason,Cincinnati BengalsA,Loss
1989,XXIV,John Elway*,Denver BroncosA,Loss
1990,XXV,Jim Kelly*,Buffalo BillsA,Loss
1991,XXVI,Jim Kelly*,Buffalo BillsA,Loss
1992,XXVII,Jim Kelly*,Buffalo BillsA,Loss
1993,XXVIII,Jim Kelly*,Buffalo BillsA,Loss
1994,XXIX,Stan Humphries,San Diego ChargersA,Loss
1995,XXX,Neil O'Donnell,Pittsburgh SteelersA,Loss
1996,XXXI,Drew Bledsoe,New England PatriotsA,Loss
1997,XXXII,Brett Favre*,Green Bay PackersN,Loss
1998,XXXIII,Chris Chandler,Atlanta FalconsN,Loss
1999,XXXIV,Steve McNair,Tennessee TitansA,Loss
2000,XXXV,Kerry Collins,New York GiantsN,Loss
2001,XXXVI,Kurt Warner*,St. Louis RamsN,Loss
2002,XXXVII,Rich Gannon,Oakland RaidersA,Loss
2003,XXXVIII,Jake Delhomme,Carolina PanthersN,Loss
2004,XXXIX,Donovan McNabb,Philadelphia EaglesN,Loss
2005,XL,Matt Hasselbeck‡,Seattle SeahawksN,Loss
2006,XLI,Rex Grossman,Chicago BearsN,Loss
2007,XLII,Tom Brady,New England PatriotsA,Loss
2008,XLIII,Kurt Warner*,Arizona CardinalsN,Loss
2009,XLIV,Peyton Manning‡,Indianapolis ColtsA,Loss
2010,XLV,Ben Roethlisberger,Pittsburgh SteelersA,Loss
2011,XLVI,Tom Brady,New England PatriotsA,Loss
2012,XLVII,Colin Kaepernick‡,San Francisco 49ersN,Loss
2013,XLVIII,Peyton Manning‡,Denver BroncosA,Loss
2014,XLIX,Russell Wilson,Seattle SeahawksN,Loss
2015,50,Cam Newton,Carolina PanthersN,Loss
2016,LI,Matt Ryan,Atlanta FalconsN,Loss
2017,LII,Tom Brady,New England PatriotsA,Loss
2018,LIII,Jared Goff,Los Angeles RamsN,Loss
2019,LIV,Jimmy Garoppolo,San Francisco 49ersN,Loss
,,Losing QB,Team,Loss